Orthogroup	Branchiostoma_floridae	Capitella_teleta	Crassostrea_ariakensis	Crassostrea_gigas	Cyclina_sinensis	Drosophila_melanogaster	Homo_sapiens	Mytilus_coruscus	Nautilus_pompilius	Nematostella_vectensis	Patinopecten_yessoensis	Pomacea_canaliculata	Sinonovacula_constricta	Sinonovacula_rivularis	Tegillarca_granosa	Total
OG0000172	1	19	18	15	38	1	0	12	6	0	10	10	33	7	2	172
OG0000173	60	2	7	12	1	0	5	59	2	1	11	1	1	3	6	171
OG0000174	8	13	12	17	18	1	10	11	5	6	20	9	17	10	14	171
OG0000175	0	137	0	1	3	1	1	19	1	3	1	1	1	1	0	170
OG0000176	4	11	5	9	22	4	5	17	5	2	8	27	17	18	16	170
OG0000177	15	9	8	16	12	3	4	17	5	34	6	9	7	14	10	169
OG0000178	2	3	34	40	8	2	0	31	5	0	10	10	13	3	8	169
OG0000179	25	14	10	12	23	1	2	9	3	3	10	11	16	16	14	169
OG0000180	1	8	5	3	26	1	1	13	1	2	5	3	8	9	83	169
OG0000181	1	1	21	3	9	3	1	84	1	9	3	0	7	1	24	168
OG0000182	1	5	15	19	10	0	1	28	10	0	19	15	20	17	8	168
OG0000183	13	9	26	28	9	3	0	20	1	3	30	2	5	6	12	167
OG0000184	15	8	10	15	13	1	17	22	8	0	17	9	10	13	9	167
OG0000185	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	167
OG0000186	10	12	11	14	16	1	11	12	5	10	11	11	13	13	16	166
OG0000187	2	1	21	23	7	1	2	17	10	2	14	16	18	13	19	166
OG0000188	0	3	19	8	31	0	0	18	0	6	21	25	12	8	15	166
OG0000189	17	2	9	15	19	1	8	16	8	3	8	6	15	16	22	165
OG0000190	14	34	13	19	4	1	13	21	5	8	9	6	5	2	10	164
OG0000191	1	21	10	11	20	0	5	15	7	2	8	23	18	8	14	163
OG0000192	4	0	14	51	24	0	0	16	0	0	19	5	13	8	9	163
OG0000193	0	0	0	2	0	0	0	157	0	0	0	1	0	0	3	163
OG0000194	14	5	15	17	19	0	2	11	3	6	9	9	17	16	19	162
OG0000195	14	12	8	12	11	12	0	13	3	0	20	17	9	8	23	162
OG0000196	157	0	0	0	0	0	2	0	0	0	0	1	0	0	0	160
OG0000197	7	0	15	35	18	0	0	30	0	5	7	5	22	9	7	160
OG0000198	1	2	31	1	54	0	1	34	3	1	1	1	10	3	17	160
OG0000199	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	159
OG0000200	3	1	16	10	14	1	1	56	3	2	14	15	13	6	4	159
OG0000201	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	159
OG0000202	12	20	12	12	15	1	4	14	8	0	14	9	13	10	12	156
OG0000203	5	11	12	14	17	0	2	14	3	5	13	10	16	16	17	155
OG0000204	21	17	14	16	11	1	6	14	2	6	14	10	6	7	9	154
OG0000205	23	1	9	20	6	0	1	33	4	0	21	11	11	8	6	154
OG0000206	12	1	34	30	5	1	8	19	3	7	11	3	7	6	6	153
OG0000207	6	23	4	12	34	0	1	10	2	0	18	25	8	4	6	153
OG0000208	14	3	11	18	10	1	5	14	2	3	21	3	16	11	19	151
